destination_index,row,col,demand_probability,demand_weight
91,3,16,0.0014166682070948311,0.5371691196881078
92,3,17,0.0013505400206974265,0.5120947801244987
93,3,19,0.0012273998885038008,0.4654027769599926
94,3,20,0.0011701064953121936,0.44367839475775955
95,3,22,0.0010634180104800626,0.40322449087884127
96,3,24,0.0009664572152568494,0.366459110845981
97,3,25,0.0009213442787516373,0.34935328728921067
98,3,26,0.0008783371540795773,0.3330459408091321
99,3,28,0.000798251742609817,0.3026793314904327
100,4,0,0.000798251742609817,0.3026793314904327
101,4,1,0.0008373375447470213,0.31749979955853563
102,4,2,0.0008783371540795773,0.3330459408091321
103,4,3,0.0009213442787516373,0.34935328728921067
104,4,4,0.0009664572152568494,0.366459110845981
105,4,5,0.0010137790731034747,0.3844025083148958
106,4,6,0.0010634180104800626,0.40322449087884127
107,4,7,0.0011154874814603218,0.42296807780273343
108,4,9,0.0012273998885038008,0.4654027769599926
109,4,10,0.001287498610027965,0.48819087735911093
110,4,11,0.0013505400206974265,0.5120947801244987
111,4,12,0.0014166682070948311,0.5371691196881078
112,4,13,0.0014860343108950482,0.563471205616166
113,4,14,0.0015587968743125031,0.5910611535951341
114,4,15,0.0015587968743125031,0.5910611535951341
115,4,16,0.0014860343108950482,0.563471205616166
116,4,17,0.0014166682070948311,0.5371691196881078
117,4,18,0.0013505400206974265,0.5120947801244987
118,4,19,0.001287498610027965,0.48819087735911093
119,4,20,0.0012273998885038008,0.4654027769599926
120,4,21,0.0011701064953121936,0.44367839475775955
121,4,22,0.0011154874814603218,0.42296807780273343
122,4,24,0.0010137790731034747,0.3844025083148958
123,4,25,0.0009664572152568494,0.366459110845981
124,4,27,0.0008783371540795773,0.3330459408091321
125,4,28,0.0008373375447470213,0.31749979955853563
126,4,29,0.000798251742609817,0.3026793314904327
127,5,1,0.0008783371540795773,0.3330459408091321
128,5,3,0.0009664572152568494,0.366459110845981
129,5,4,0.0010137790731034747,0.3844025083148958
130,5,5,0.0010634180104800626,0.40322449087884127
131,5,6,0.0011154874814603218,0.42296807780273343
132,5,8,0.0012273998885038008,0.4654027769599926
133,5,10,0.0013505400206974265,0.5120947801244987
134,5,11,0.0014166682070948311,0.5371691196881078
135,5,12,0.0014860343108950482,0.563471205616166
136,5,13,0.0015587968743125031,0.5910611535951341
137,5,14,0.0016351222024630885,0.6200020228312935
138,5,15,0.0016351222024630885,0.6200020228312935
139,5,17,0.0014860343108950482,0.563471205616166
140,5,18,0.0014166682070948311,0.5371691196881078
141,5,19,0.0013505400206974265,0.5120947801244987
142,5,20,0.001287498610027965,0.48819087735911093
143,5,21,0.0012273998885038008,0.4654027769599926
144,5,22,0.0011701064953121936,0.44367839475775955
145,5,24,0.0010634180104800626,0.40322449087884127
146,5,25,0.0010137790731034747,0.3844025083148958
147,5,26,0.0009664572152568494,0.366459110845981
148,5,27,0.0009213442787516373,0.34935328728921067
149,5,28,0.0008783371540795773,0.3330459408091321
150,5,29,0.0008373375447470213,0.31749979955853563
151,6,0,0.0008783371540795773,0.3330459408091321
152,6,1,0.0009213442787516373,0.34935328728921067
153,6,3,0.0010137790731034747,0.3844025083148958
154,6,4,0.0010634180104800626,0.40322449087884127
155,6,6,0.0011701064953121936,0.44367839475775955
156,6,7,0.0012273998885038008,0.4654027769599926
157,6,8,0.001287498610027965,0.48819087735911093
158,6,9,0.0013505400206974265,0.5120947801244987
159,6,11,0.0014860343108950482,0.563471205616166
160,6,12,0.0015587968743125031,0.5910611535951341
161,6,14,0.0017151847434688536,0.6503599601780028
162,6,15,0.0017151847434688536,0.6503599601780028
163,6,17,0.0015587968743125031,0.5910611535951341
164,6,18,0.0014860343108950482,0.563471205616166
165,6,19,0.0014166682070948311,0.5371691196881078
166,6,20,0.0013505400206974265,0.5120947801244987
167,6,22,0.0012273998885038008,0.4654027769599926
168,6,24,0.0011154874814603218,0.42296807780273343
169,6,25,0.0010634180104800626,0.40322449087884127
170,6,26,0.0010137790731034747,0.3844025083148958
171,6,28,0.0009213442787516373,0.34935328728921067
172,6,29,0.0008783371540795773,0.3330459408091321
173,7,0,0.0009213442787516373,0.34935328728921067
174,7,1,0.0009664572152568494,0.366459110845981
175,7,3,0.0010634180104800626,0.40322449087884127
176,7,5,0.0011701064953121936,0.44367839475775955
177,7,6,0.0012273998885038008,0.4654027769599926
178,7,7,0.001287498610027965,0.48819087735911093
179,7,8,0.0013505400206974265,0.5120947801244987
180,7,9,0.0014166682070948311,0.5371691196881078
181,7,10,0.0014860343108950482,0.563471205616166
182,7,14,0.001799167487174236,0.6822043513200371
183,7,15,0.001799167487174236,0.6822043513200371
184,7,16,0.0017151847434688536,0.6503599601780028
185,7,18,0.0015587968743125031,0.5910611535951341
186,7,19,0.0014860343108950482,0.563471205616166
187,7,20,0.0014166682070948311,0.5371691196881078
188,7,21,0.0013505400206974265,0.5120947801244987
189,7,22,0.001287498610027965,0.48819087735911093
190,7,23,0.0012273998885038008,0.4654027769599926
191,7,25,0.0011154874814603218,0.42296807780273343
192,7,26,0.0010634180104800626,0.40322449087884127
193,7,27,0.0010137790731034747,0.3844025083148958
194,7,28,0.0009664572152568494,0.366459110845981
195,7,29,0.0009213442787516373,0.34935328728921067
196,8,0,0.0009664572152568494,0.366459110845981
197,8,1,0.0010137790731034747,0.3844025083148958
198,8,2,0.0010634180104800626,0.40322449087884127
199,8,3,0.0011154874814603218,0.42296807780273343
200,8,4,0.0011701064953121936,0.44367839475775955
201,8,5,0.0012273998885038008,0.4654027769599926
202,8,6,0.001287498610027965,0.48819087735911093
203,8,7,0.0013505400206974265,0.5120947801244987
204,8,9,0.0014860343108950482,0.563471205616166
205,8,10,0.0015587968743125031,0.5910611535951341
206,8,11,0.0016351222024630885,0.6200020228312935
207,8,12,0.0017151847434688536,0.6503599601780028
208,8,13,0.001799167487174236,0.6822043513200371
209,8,14,0.0018872623833851379,0.7156079793605565
210,8,15,0.0018872623833851379,0.7156079793605565
211,8,16,0.001799167487174236,0.6822043513200371
212,8,18,0.0016351222024630885,0.6200020228312935
213,8,19,0.0015587968743125031,0.5910611535951341
214,8,20,0.0014860343108950482,0.563471205616166
215,8,21,0.0014166682070948311,0.5371691196881078
216,8,22,0.0013505400206974265,0.5120947801244987
217,8,24,0.0012273998885038008,0.4654027769599926
218,8,25,0.0011701064953121936,0.44367839475775955
219,8,26,0.0011154874814603218,0.42296807780273343
220,8,28,0.0010137790731034747,0.3844025083148958
221,9,0,0.0010137790731034747,0.3844025083148958
222,9,1,0.0010634180104800626,0.40322449087884127
223,9,3,0.0011701064953121936,0.44367839475775955
224,9,4,0.0012273998885038008,0.4654027769599926
225,9,5,0.001287498610027965,0.48819087735911093
226,9,6,0.0013505400206974265,0.5120947801244987
227,9,7,0.0014166682070948311,0.5371691196881078
228,9,8,0.0014860343108950482,0.563471205616166
229,9,9,0.0015587968743125031,0.5910611535951341
230,9,10,0.0016351222024630885,0.6200020228312935
231,9,11,0.0017151847434688536,0.6503599601780028
232,9,12,0.001799167487174236,0.6822043513200371
233,9,13,0.0018872623833851379,0.7156079793605565
234,9,14,0.001979670780586766,0.7506471911731676
235,9,15,0.001979670780586766,0.7506471911731676
236,9,17,0.001799167487174236,0.6822043513200371
237,9,18,0.0017151847434688536,0.6503599601780028
238,9,20,0.0015587968743125031,0.5910611535951341
239,9,22,0.0014166682070948311,0.5371691196881078
240,9,23,0.0013505400206974265,0.5120947801244987
241,9,24,0.001287498610027965,0.48819087735911093
242,9,25,0.0012273998885038008,0.4654027769599926
243,9,27,0.0011154874814603218,0.42296807780273343
244,9,28,0.0010634180104800626,0.40322449087884127
245,9,29,0.0010137790731034747,0.3844025083148958
246,10,0,0.0010634180104800626,0.40322449087884127
247,10,1,0.0011154874814603218,0.42296807780273343
248,10,3,0.0012273998885038008,0.4654027769599926
249,10,4,0.001287498610027965,0.48819087735911093
250,10,5,0.0013505400206974265,0.5120947801244987
251,10,6,0.0014166682070948311,0.5371691196881078
252,10,7,0.0014860343108950482,0.563471205616166
253,10,8,0.0015587968743125031,0.5910611535951341
254,10,9,0.0016351222024630885,0.6200020228312935
255,10,10,0.0017151847434688536,0.6503599601780028
256,10,11,0.001799167487174236,0.6822043513200371
257,10,12,0.0018872623833851379,0.7156079793605565
258,10,13,0.001979670780586766,0.7506471911731676
259,10,14,0.0020766038861429674,0.7874020718992892
260,10,15,0.0020766038861429674,0.7874020718992892
261,10,16,0.001979670780586766,0.7506471911731676
262,10,17,0.0018872623833851379,0.7156079793605565
263,10,18,0.001799167487174236,0.6822043513200371
264,10,19,0.0017151847434688536,0.6503599601780028
265,10,20,0.0016351222024630885,0.6200020228312935
266,10,21,0.0015587968743125031,0.5910611535951341
267,10,22,0.0014860343108950482,0.563471205616166
268,10,24,0.0013505400206974265,0.5120947801244987
269,10,25,0.001287498610027965,0.48819087735911093
270,10,26,0.0012273998885038008,0.4654027769599926
271,10,27,0.0011701064953121936,0.44367839475775955
272,10,28,0.0011154874814603218,0.42296807780273343
273,10,29,0.0010634180104800626,0.40322449087884127
274,11,0,0.0011154874814603218,0.42296807780273343
275,11,1,0.0011701064953121936,0.44367839475775955
276,11,2,0.0012273998885038008,0.4654027769599926
277,11,4,0.0013505400206974265,0.5120947801244987
278,11,5,0.0014166682070948311,0.5371691196881078
279,11,6,0.0014860343108950482,0.563471205616166
280,11,7,0.0015587968743125031,0.5910611535951341
281,11,9,0.0017151847434688536,0.6503599601780028
282,11,11,0.0018872623833851379,0.7156079793605565
283,11,12,0.001979670780586766,0.7506471911731676
284,11,13,0.0020766038861429674,0.7874020718992892
285,11,14,0.0021782832490288774,0.8259566279896524
286,11,16,0.0020766038861429674,0.7874020718992892
287,11,17,0.001979670780586766,0.7506471911731676
288,11,18,0.0018872623833851379,0.7156079793605565
289,11,19,0.001799167487174236,0.6822043513200371
290,11,20,0.0017151847434688536,0.6503599601780028
291,11,22,0.0015587968743125031,0.5910611535951341
292,11,23,0.0014860343108950482,0.563471205616166
293,11,25,0.0013505400206974265,0.5120947801244987
294,11,26,0.001287498610027965,0.48819087735911093
295,11,27,0.0012273998885038008,0.4654027769599926
296,11,28,0.0011701064953121936,0.44367839475775955
297,11,29,0.0011154874814603218,0.42296807780273343
298,12,0,0.0011701064953121936,0.44367839475775955
299,12,1,0.0012273998885038008,0.4654027769599926
300,12,2,0.001287498610027965,0.48819087735911093
301,12,3,0.0013505400206974265,0.5120947801244987
302,12,6,0.0015587968743125031,0.5910611535951341
303,12,8,0.0017151847434688536,0.6503599601780028
304,12,10,0.0018872623833851379,0.7156079793605565
305,12,11,0.001979670780586766,0.7506471911731676
306,12,12,0.0020766038861429674,0.7874020718992892
307,12,13,0.0021782832490288774,0.8259566279896524
308,12,14,0.0022849412662002164,0.8663989792082903
309,12,15,0.0022849412662002164,0.8663989792082903
310,12,17,0.0020766038861429674,0.7874020718992892
311,12,18,0.001979670780586766,0.7506471911731676
312,12,19,0.0018872623833851379,0.7156079793605565
313,12,22,0.0016351222024630885,0.6200020228312935
314,12,24,0.0014860343108950482,0.563471205616166
315,12,25,0.0014166682070948311,0.5371691196881078
316,12,26,0.0013505400206974265,0.5120947801244987
317,12,27,0.001287498610027965,0.48819087735911093
318,12,28,0.0012273998885038008,0.4654027769599926
319,12,29,0.0011701064953121936,0.44367839475775955
320,13,0,0.0012273998885038008,0.4654027769599926
321,13,1,0.001287498610027965,0.48819087735911093
322,13,2,0.0013505400206974265,0.5120947801244987
323,13,3,0.0014166682070948311,0.5371691196881078
324,13,4,0.0014860343108950482,0.563471205616166
325,13,6,0.0016351222024630885,0.6200020228312935
326,13,8,0.001799167487174236,0.6822043513200371
327,13,9,0.0018872623833851379,0.7156079793605565
328,13,10,0.001979670780586766,0.7506471911731676
329,13,11,0.0020766038861429674,0.7874020718992892
330,13,14,0.0023968217137565816,0.9088215600378615
331,13,15,0.0023968217137565816,0.9088215600378615
332,13,16,0.0022849412662002164,0.8663989792082903
333,13,17,0.0021782832490288774,0.8259566279896524
334,13,18,0.0020766038861429674,0.7874020718992892
335,13,19,0.001979670780586766,0.7506471911731676
336,13,20,0.0018872623833851379,0.7156079793605565
337,13,21,0.001799167487174236,0.6822043513200371
338,13,22,0.0017151847434688536,0.6503599601780028
339,13,23,0.0016351222024630885,0.6200020228312935
340,13,24,0.0015587968743125031,0.5910611535951341
341,13,25,0.0014860343108950482,0.563471205616166
342,13,26,0.0014166682070948311,0.5371691196881078
343,13,27,0.0013505400206974265,0.5120947801244987
344,13,28,0.001287498610027965,0.48819087735911093
345,13,29,0.0012273998885038008,0.4654027769599926
346,14,0,0.001287498610027965,0.48819087735911093
347,14,1,0.0013505400206974265,0.5120947801244987
348,14,2,0.0014166682070948311,0.5371691196881078
349,14,3,0.0014860343108950482,0.563471205616166
350,14,4,0.0015587968743125031,0.5910611535951341
351,14,5,0.0016351222024630885,0.6200020228312935
352,14,6,0.0017151847434688536,0.6503599601780028
353,14,7,0.001799167487174236,0.6822043513200371
354,14,9,0.001979670780586766,0.7506471911731676
355,14,10,0.0020766038861429674,0.7874020718992892
356,14,11,0.0021782832490288774,0.8259566279896524
357,14,12,0.0022849412662002164,0.8663989792082903
358,14,13,0.0023968217137565816,0.9088215600378615
359,14,14,0.0025141803041127523,0.953321330946634
360,14,15,0.0025141803041127523,0.953321330946634
361,14,16,0.0023968217137565816,0.9088215600378615
362,14,17,0.0022849412662002164,0.8663989792082903
363,14,18,0.0021782832490288774,0.8259566279896524
364,14,19,0.0020766038861429674,0.7874020718992892
365,14,20,0.001979670780586766,0.7506471911731676
366,14,22,0.001799167487174236,0.6822043513200371
367,14,23,0.0017151847434688536,0.6503599601780028
368,14,24,0.0016351222024630885,0.6200020228312935
369,14,25,0.0015587968743125031,0.5910611535951341
370,14,26,0.0014860343108950482,0.563471205616166
371,14,27,0.0014166682070948311,0.5371691196881078
372,14,28,0.0013505400206974265,0.5120947801244987
373,14,29,0.001287498610027965,0.48819087735911093
374,15,0,0.001287498610027965,0.48819087735911093
375,15,1,0.0013505400206974265,0.5120947801244987
376,15,2,0.0014166682070948311,0.5371691196881078
377,15,3,0.0014860343108950482,0.563471205616166
378,15,4,0.0015587968743125031,0.5910611535951341
379,15,5,0.0016351222024630885,0.6200020228312935
380,15,6,0.0017151847434688536,0.6503599601780028
381,15,7,0.001799167487174236,0.6822043513200371
382,15,9,0.001979670780586766,0.7506471911731676
383,15,10,0.0020766038861429674,0.7874020718992892
384,15,12,0.0022849412662002164,0.8663989792082903
385,15,13,0.0023968217137565816,0.9088215600378615
386,15,14,0.0025141803041127523,0.953321330946634
387,15,15,0.0025141803041127523,0.953321330946634
388,15,16,0.0023968217137565816,0.9088215600378615
389,15,17,0.0022849412662002164,0.8663989792082903
390,15,18,0.0021782832490288774,0.8259566279896524
391,15,19,0.0020766038861429674,0.7874020718992892
392,15,22,0.001799167487174236,0.6822043513200371
393,15,25,0.0015587968743125031,0.5910611535951341
394,15,26,0.0014860343108950482,0.563471205616166
395,15,27,0.0014166682070948311,0.5371691196881078
396,15,28,0.0013505400206974265,0.5120947801244987
397,15,29,0.001287498610027965,0.48819087735911093
398,16,0,0.0012273998885038008,0.4654027769599926
399,16,1,0.001287498610027965,0.48819087735911093
400,16,2,0.0013505400206974265,0.5120947801244987
401,16,3,0.0014166682070948311,0.5371691196881078
402,16,4,0.0014860343108950482,0.563471205616166
403,16,5,0.0015587968743125031,0.5910611535951341
404,16,6,0.0016351222024630885,0.6200020228312935
405,16,7,0.0017151847434688536,0.6503599601780028
406,16,8,0.001799167487174236,0.6822043513200371
407,16,9,0.0018872623833851379,0.7156079793605565
408,16,10,0.001979670780586766,0.7506471911731676
409,16,11,0.0020766038861429674,0.7874020718992892
410,16,12,0.0021782832490288774,0.8259566279896524
411,16,13,0.0022849412662002164,0.8663989792082903
412,16,14,0.0023968217137565816,0.9088215600378615
413,16,15,0.0023968217137565816,0.9088215600378615
414,16,16,0.0022849412662002164,0.8663989792082903
415,16,17,0.0021782832490288774,0.8259566279896524
416,16,18,0.0020766038861429674,0.7874020718992892
417,16,19,0.001979670780586766,0.7506471911731676
418,16,21,0.001799167487174236,0.6822043513200371
419,16,22,0.0017151847434688536,0.6503599601780028
420,16,25,0.0014860343108950482,0.563471205616166
421,16,26,0.0014166682070948311,0.5371691196881078
422,16,27,0.0013505400206974265,0.5120947801244987
423,16,28,0.001287498610027965,0.48819087735911093
424,16,29,0.0012273998885038008,0.4654027769599926
425,17,0,0.0011701064953121936,0.44367839475775955
426,17,1,0.0012273998885038008,0.4654027769599926
427,17,2,0.001287498610027965,0.48819087735911093
428,17,3,0.0013505400206974265,0.5120947801244987
429,17,4,0.0014166682070948311,0.5371691196881078
430,17,5,0.0014860343108950482,0.563471205616166
431,17,6,0.0015587968743125031,0.5910611535951341
432,17,7,0.0016351222024630885,0.6200020228312935
433,17,8,0.0017151847434688536,0.6503599601780028
434,17,10,0.0018872623833851379,0.7156079793605565
435,17,11,0.001979670780586766,0.7506471911731676
436,17,12,0.0020766038861429674,0.7874020718992892
437,17,14,0.0022849412662002164,0.8663989792082903
438,17,15,0.0022849412662002164,0.8663989792082903
439,17,16,0.0021782832490288774,0.8259566279896524
440,17,17,0.0020766038861429674,0.7874020718992892
441,17,18,0.001979670780586766,0.7506471911731676
442,17,19,0.0018872623833851379,0.7156079793605565
443,17,20,0.001799167487174236,0.6822043513200371
444,17,21,0.0017151847434688536,0.6503599601780028
445,17,22,0.0016351222024630885,0.6200020228312935
446,17,25,0.0014166682070948311,0.5371691196881078
447,17,26,0.0013505400206974265,0.5120947801244987
448,17,27,0.001287498610027965,0.48819087735911093
449,17,28,0.0012273998885038008,0.4654027769599926
450,17,29,0.0011701064953121936,0.44367839475775955
451,18,0,0.0011154874814603218,0.42296807780273343
452,18,1,0.0011701064953121936,0.44367839475775955
453,18,2,0.0012273998885038008,0.4654027769599926
454,18,3,0.001287498610027965,0.48819087735911093
455,18,4,0.0013505400206974265,0.5120947801244987
456,18,7,0.0015587968743125031,0.5910611535951341
457,18,8,0.0016351222024630885,0.6200020228312935
458,18,9,0.0017151847434688536,0.6503599601780028
459,18,10,0.001799167487174236,0.6822043513200371
460,18,11,0.0018872623833851379,0.7156079793605565
461,18,12,0.001979670780586766,0.7506471911731676
462,18,13,0.0020766038861429674,0.7874020718992892
463,18,14,0.0021782832490288774,0.8259566279896524
464,18,15,0.0021782832490288774,0.8259566279896524
465,18,16,0.0020766038861429674,0.7874020718992892
466,18,17,0.001979670780586766,0.7506471911731676
467,18,18,0.0018872623833851379,0.7156079793605565
468,18,19,0.001799167487174236,0.6822043513200371
469,18,20,0.0017151847434688536,0.6503599601780028
470,18,21,0.0016351222024630885,0.6200020228312935
471,18,26,0.001287498610027965,0.48819087735911093
472,18,27,0.0012273998885038008,0.4654027769599926
473,18,28,0.0011701064953121936,0.44367839475775955
474,19,0,0.0010634180104800626,0.40322449087884127
475,19,1,0.0011154874814603218,0.42296807780273343
476,19,2,0.0011701064953121936,0.44367839475775955
477,19,3,0.0012273998885038008,0.4654027769599926
478,19,4,0.001287498610027965,0.48819087735911093
479,19,6,0.0014166682070948311,0.5371691196881078
480,19,7,0.0014860343108950482,0.563471205616166
481,19,8,0.0015587968743125031,0.5910611535951341
482,19,9,0.0016351222024630885,0.6200020228312935
483,19,10,0.0017151847434688536,0.6503599601780028
484,19,11,0.001799167487174236,0.6822043513200371
485,19,13,0.001979670780586766,0.7506471911731676
486,19,14,0.0020766038861429674,0.7874020718992892
487,19,15,0.0020766038861429674,0.7874020718992892
488,19,16,0.001979670780586766,0.7506471911731676
489,19,17,0.0018872623833851379,0.7156079793605565
490,19,19,0.0017151847434688536,0.6503599601780028
491,19,20,0.0016351222024630885,0.6200020228312935
492,19,21,0.0015587968743125031,0.5910611535951341
493,19,22,0.0014860343108950482,0.563471205616166
494,19,23,0.0014166682070948311,0.5371691196881078
495,19,24,0.0013505400206974265,0.5120947801244987
496,19,25,0.001287498610027965,0.48819087735911093
497,19,26,0.0012273998885038008,0.4654027769599926
498,19,27,0.0011701064953121936,0.44367839475775955
499,19,28,0.0011154874814603218,0.42296807780273343
500,19,29,0.0010634180104800626,0.40322449087884127
501,20,1,0.0010634180104800626,0.40322449087884127
502,20,2,0.0011154874814603218,0.42296807780273343
503,20,3,0.0011701064953121936,0.44367839475775955
504,20,4,0.0012273998885038008,0.4654027769599926
505,20,5,0.001287498610027965,0.48819087735911093
506,20,7,0.0014166682070948311,0.5371691196881078
507,20,10,0.0016351222024630885,0.6200020228312935
508,20,11,0.0017151847434688536,0.6503599601780028
509,20,13,0.0018872623833851379,0.7156079793605565
510,20,14,0.001979670780586766,0.7506471911731676
511,20,15,0.001979670780586766,0.7506471911731676
512,20,16,0.0018872623833851379,0.7156079793605565
513,20,19,0.0016351222024630885,0.6200020228312935
514,20,20,0.0015587968743125031,0.5910611535951341
515,20,21,0.0014860343108950482,0.563471205616166
516,20,23,0.0013505400206974265,0.5120947801244987
517,20,24,0.001287498610027965,0.48819087735911093
518,20,25,0.0012273998885038008,0.4654027769599926
519,20,26,0.0011701064953121936,0.44367839475775955
520,20,27,0.0011154874814603218,0.42296807780273343
521,20,28,0.0010634180104800626,0.40322449087884127
522,20,29,0.0010137790731034747,0.3844025083148958
523,21,0,0.0009664572152568494,0.366459110845981
524,21,1,0.0010137790731034747,0.3844025083148958
525,21,3,0.0011154874814603218,0.42296807780273343
526,21,4,0.0011701064953121936,0.44367839475775955
527,21,5,0.0012273998885038008,0.4654027769599926
528,21,6,0.001287498610027965,0.48819087735911093
529,21,7,0.0013505400206974265,0.5120947801244987
530,21,9,0.0014860343108950482,0.563471205616166
531,21,12,0.0017151847434688536,0.6503599601780028
532,21,13,0.001799167487174236,0.6822043513200371
533,21,14,0.0018872623833851379,0.7156079793605565
534,21,15,0.0018872623833851379,0.7156079793605565
535,21,16,0.001799167487174236,0.6822043513200371
536,21,18,0.0016351222024630885,0.6200020228312935
537,21,19,0.0015587968743125031,0.5910611535951341
538,21,20,0.0014860343108950482,0.563471205616166
539,21,21,0.0014166682070948311,0.5371691196881078
540,21,22,0.0013505400206974265,0.5120947801244987
541,21,24,0.0012273998885038008,0.4654027769599926
542,21,25,0.0011701064953121936,0.44367839475775955
543,21,28,0.0010137790731034747,0.3844025083148958
544,21,29,0.0009664572152568494,0.366459110845981
545,22,0,0.0009213442787516373,0.34935328728921067
546,22,2,0.0010137790731034747,0.3844025083148958
547,22,3,0.0010634180104800626,0.40322449087884127
548,22,5,0.0011701064953121936,0.44367839475775955
549,22,6,0.0012273998885038008,0.4654027769599926
550,22,9,0.0014166682070948311,0.5371691196881078
551,22,10,0.0014860343108950482,0.563471205616166
552,22,11,0.0015587968743125031,0.5910611535951341
553,22,12,0.0016351222024630885,0.6200020228312935
554,22,16,0.0017151847434688536,0.6503599601780028
555,22,18,0.0015587968743125031,0.5910611535951341
556,22,19,0.0014860343108950482,0.563471205616166
557,22,20,0.0014166682070948311,0.5371691196881078
558,22,22,0.001287498610027965,0.48819087735911093
559,22,23,0.0012273998885038008,0.4654027769599926
560,22,26,0.0010634180104800626,0.40322449087884127
561,22,27,0.0010137790731034747,0.3844025083148958
562,22,28,0.0009664572152568494,0.366459110845981
563,22,29,0.0009213442787516373,0.34935328728921067
