trip_id,vehicle_id,start_parking_O,destination_I,start_time,end_time,n_trace_points
217,21,52,741,393,423,31
218,21,149,656,453,456,4
219,21,148,601,486,498,13
220,22,8,743,0,35,36
221,22,149,653,65,74,10
222,22,147,85,104,132,29
223,22,31,264,162,172,11
224,22,59,173,202,217,16
225,22,38,547,247,265,19
226,22,115,336,295,323,29
227,22,79,420,353,355,3
228,22,80,507,385,400,16
229,22,97,699,430,437,8
230,23,74,153,0,14,15
231,23,29,216,44,71,28
232,23,53,502,101,138,38
233,23,99,487,168,183,16
234,23,119,305,213,237,25
235,23,32,381,267,280,14
236,23,74,141,310,327,18
237,23,27,406,357,376,20
238,23,70,401,406,416,11
239,23,85,545,446,459,14
240,24,6,518,0,48,49
241,24,113,14,78,110,33
242,24,5,390,140,156,17
243,24,78,268,186,195,10
244,24,55,374,225,258,34
245,24,99,97,288,328,41
246,24,17,89,358,379,22
247,24,27,248,409,429,21
248,24,56,417,459,480,22
249,24,78,550,510,523,14
250,25,66,153,0,20,21
251,25,29,383,50,68,19
252,25,77,330,98,105,8
253,25,73,510,135,146,12
254,25,110,188,176,201,26
255,25,34,328,231,252,22
256,25,74,445,282,310,29
257,25,83,78,340,375,36
258,25,10,434,405,427,23
259,25,77,497,457,481,25
260,26,67,118,0,10,11
261,26,16,693,40,82,43
262,26,150,16,112,161,50
263,26,7,48,191,203,13
264,26,9,285,233,261,29
265,26,73,220,291,305,15
266,26,61,419,335,339,5
267,26,81,534,369,373,5
268,26,78,291,403,409,7
269,26,69,347,439,457,19
270,27,112,609,0,7,8
271,27,137,40,37,69,33
272,27,7,521,99,134,36
273,27,94,283,164,182,19
274,27,72,742,212,239,28
275,27,140,708,269,286,18
276,27,147,81,316,344,29
277,27,31,502,374,399,26
278,27,99,179,429,446,18
279,27,57,391,476,493,18
280,28,99,342,0,29,30
281,28,81,732,59,82,24
282,28,152,641,112,130,19
283,28,150,609,160,187,28
284,28,137,533,217,235,19
285,28,128,90,265,291,27
286,28,16,219,321,332,12
287,28,53,503,362,396,35
288,28,96,54,426,444,19
289,28,14,413,474,503,30
290,29,95,38,0,29,30
291,29,27,160,59,68,10
292,29,39,714,98,135,38
293,29,149,705,165,172,8
294,29,154,541,202,212,11
295,29,112,479,242,258,17
296,29,101,93,288,315,28
297,29,15,128,345,363,19
298,29,38,741,393,434,42
299,29,140,678,464,476,13
300,30,146,682,0,1,2
301,30,147,88,31,56,26
302,30,32,539,86,110,25
303,30,123,611,140,153,14
304,30,130,428,183,207,25
305,30,101,170,237,271,35
306,30,36,363,301,317,17
307,30,78,578,347,358,12
308,30,129,489,388,391,4
309,30,111,518,421,430,10
310,31,78,415,0,8,9
311,31,104,498,38,50,13
312,31,94,695,80,111,32
313,31,150,587,141,176,36
314,31,130,642,206,236,31
315,31,145,433,266,276,11
316,31,96,637,306,339,34
317,31,144,395,369,381,13
318,31,81,460,411,424,14
319,31,86,579,454,466,13
320,32,73,78,0,23,24
321,32,1,32,53,61,9
322,32,2,315,91,115,25
323,32,69,25,145,177,33
324,32,6,347,207,230,24
325,32,74,556,260,276,17
326,32,105,704,306,317,12
327,32,152,204,347,379,33
328,32,40,523,409,434,26
329,32,99,496,464,492,29
330,33,97,286,0,11,12
331,33,66,426,41,58,18
332,33,89,549,88,107,20
333,33,126,12,137,185,49
334,33,27,194,215,237,23
335,33,47,399,267,298,32
336,33,90,659,328,361,34
337,33,134,42,391,415,25
338,33,4,204,445,475,31
339,33,31,575,505,527,23
340,34,144,354,0,30,31
341,34,65,253,60,73,14
342,34,58,364,103,118,16
343,34,82,133,148,170,23
344,34,26,261,200,212,13
345,34,59,248,242,256,15
346,34,54,717,286,310,25
347,34,153,331,340,370,31
348,34,66,224,400,420,21
349,34,38,141,450,463,14
350,35,74,383,0,4,5
351,35,77,457,34,48,15
352,35,102,350,78,88,11
353,35,58,452,118,132,15
354,35,96,638,162,169,8
355,35,138,56,199,227,29
356,35,11,357,257,273,17
357,35,77,510,303,315,13
358,35,104,79,345,378,34
359,35,10,659,408,454,47
360,36,64,311,0,9,10
361,36,59,273,39,56,18
362,36,48,215,86,95,10
363,36,52,85,125,142,18
364,36,26,478,172,190,19
365,36,96,433,220,222,3
366,36,90,634,252,276,25
367,36,136,515,306,311,6
368,36,123,613,341,366,26
369,36,142,580,396,425,30
370,37,52,68,0,19,20
371,37,16,15,49,53,5
372,37,4,663,83,114,32
373,37,137,626,144,163,20
374,37,133,34,193,224,32
375,37,2,326,254,273,20
376,37,62,127,303,321,19
377,37,25,484,351,366,16
378,37,89,498,396,421,26
379,37,95,137,451,483,33
380,38,103,507,0,8,9
381,38,103,444,38,50,13
382,38,82,405,80,99,20
383,38,71,391,129,144,16
384,38,75,497,174,182,9
385,38,94,549,212,237,26
386,38,126,510,267,279,13
387,38,121,201,309,336,28
388,38,30,392,366,393,28
389,38,80,394,423,424,2
390,39,20,512,0,33,34
391,39,103,40,63,89,27
392,39,7,353,119,144,26
393,39,70,306,174,180,7
394,39,65,362,210,217,8
395,39,59,261,247,252,6
396,39,50,287,282,293,12
397,39,45,335,323,330,8
398,39,67,35,360,378,19
399,39,26,199,408,420,13
400,40,80,626,0,14,15
401,40,133,323,44,75,32
402,40,54,320,105,106,2
403,40,54,228,136,149,14
404,40,20,537,179,204,26
405,40,104,249,234,243,10
406,40,101,259,273,290,18
407,40,66,271,320,337,18
408,40,36,202,367,404,38
409,40,54,332,434,459,26
410,41,72,335,0,14,15
411,41,52,187,44,50,7
412,41,52,637,80,106,27
413,41,141,508,136,160,25
414,41,109,602,190,194,5
415,41,119,162,224,245,22
416,41,33,133,275,279,5
417,41,41,620,309,330,22
418,41,109,462,360,365,6
419,41,85,370,395,410,16
420,42,134,367,0,14,15
421,42,80,541,44,48,5
422,42,88,342,78,79,2
423,42,84,342,109,116,8
424,42,61,407,146,167,22
425,42,85,692,197,215,19
426,42,145,287,245,274,30
427,42,66,483,304,316,13
428,42,97,198,346,378,33
429,42,49,206,408,415,8
430,43,85,379,0,3,4
431,43,76,596,33,44,12
432,43,127,192,74,112,39
433,43,47,321,142,168,27
434,43,63,653,198,227,30
435,43,147,489,257,270,14
436,43,105,375,300,326,27
437,43,54,336,356,380,25
438,43,82,510,410,436,27
439,43,110,590,466,477,12
440,44,124,580,0,6,7
441,44,134,598,36,47,12
442,44,127,207,77,108,32
443,44,31,662,138,176,39
444,44,137,484,206,225,20
445,44,110,483,255,260,6
446,44,103,659,290,305,16
447,44,135,553,335,351,17
448,44,97,455,381,397,17
449,44,89,344,427,461,35
450,45,0,725,0,41,42
451,45,146,36,71,124,54
452,45,2,467,154,196,43
453,45,89,360,226,235,10
454,45,77,313,265,278,14
455,45,68,744,308,329,22
456,45,140,492,359,378,20
457,45,123,294,408,420,13
458,45,69,392,450,454,5
459,45,81,512,484,497,14
460,46,150,271,0,34,35
461,46,60,712,64,83,20
462,46,137,499,113,128,16
463,46,95,241,158,172,15
464,46,55,26,202,235,34
465,46,6,667,265,292,28
466,46,145,492,322,344,23
467,46,105,691,374,398,25
468,46,153,422,428,462,35
469,46,84,713,492,505,14
470,47,14,267,0,27,28
471,47,78,329,57,67,11
472,47,86,403,97,107,11
473,47,118,425,137,155,19
474,47,54,569,185,239,55
475,47,132,17,269,310,42
476,47,18,314,340,351,12
477,47,61,438,381,398,18
478,47,86,31,428,446,19
479,47,25,15,476,491,16
480,48,7,64,0,2,3
481,48,15,370,32,47,16
482,48,61,15,77,92,16
483,48,4,233,122,136,15
484,48,41,527,166,185,20
485,48,89,275,215,226,12
486,48,54,317,256,277,22
487,48,55,472,307,316,10
488,48,91,217,346,359,14
489,48,43,623,389,415,27
490,49,69,438,0,15,16
491,49,86,282,45,49,5
492,49,73,580,79,100,22
493,49,133,590,130,145,16
494,49,138,71,175,220,46
495,49,8,658,250,273,24
496,49,135,625,303,314,12
497,49,129,583,344,354,11
498,49,135,549,384,407,24
499,49,116,679,437,454,18
500,50,139,142,0,28,29
501,50,28,287,58,72,15
502,50,59,325,102,112,11
503,50,71,551,142,158,17
504,50,119,241,188,215,28
505,50,43,365,245,257,13
506,50,78,674,287,317,31
507,50,146,475,347,367,21
508,50,115,494,397,425,29
509,50,106,337,455,461,7
510,51,103,512,0,11,12
511,51,104,678,41,46,6
512,51,121,302,76,92,17
513,51,58,703,122,137,16
514,51,120,483,167,175,9
515,51,102,49,205,242,38
516,51,12,44,272,281,10
517,51,8,456,311,345,35
518,51,90,280,375,382,8
519,51,64,558,412,446,35
520,52,26,670,0,34,35
521,52,151,11,64,102,39
522,52,4,457,132,160,29
523,52,85,388,190,194,5
524,52,77,10,224,243,20
525,52,2,697,273,308,36
526,52,150,376,338,366,29
527,52,54,652,396,428,33
528,52,147,626,458,461,4
529,52,139,333,491,519,29
530,53,44,400,0,7,8
531,53,76,691,37,54,18
532,53,145,184,84,115,32
533,53,50,441,145,155,11
534,53,78,577,185,199,15
535,53,139,598,229,234,6
536,53,143,732,264,265,2
537,53,143,491,295,305,11
538,53,111,341,335,350,16
539,53,69,540,380,401,22
540,54,39,384,0,8,9
541,54,77,280,38,41,4
542,54,76,636,71,102,32
543,54,149,482,132,156,25
544,54,102,137,186,204,19
545,54,32,545,234,265,32
546,54,131,532,295,311,17
547,54,120,702,341,348,8
548,54,146,475,378,398,21
549,54,115,634,428,456,29
550,55,8,598,0,37,38
551,55,127,290,67,86,20
552,55,59,291,116,125,10
553,55,55,166,155,161,7
554,55,34,266,191,196,6
555,55,60,513,226,231,6
556,55,78,652,261,275,15
557,55,139,602,305,309,5
558,55,128,342,339,358,20
559,55,69,470,388,396,9
560,56,16,724,0,37,38
561,56,151,695,67,68,2
562,56,151,122,98,134,37
563,56,16,730,164,210,47
564,56,118,358,240,251,12
565,56,86,477,281,290,10
566,56,89,221,320,339,20
567,56,10,232,369,387,19
568,56,32,376,417,432,16
569,56,62,425,462,481,20
570,57,70,564,0,16,17
571,57,131,287,46,71,26
572,57,72,630,101,131,31
573,57,133,734,161,165,5
574,57,147,407,195,213,19
575,57,85,1,243,267,25
576,57,6,449,297,343,47
577,57,95,430,373,398,26
578,57,89,378,428,435,8
579,57,62,560,465,500,36
580,58,83,549,0,21,22
581,58,118,598,51,56,6
582,58,127,406,86,97,12
583,58,76,39,127,147,21
584,58,3,82,177,187,11
585,58,14,484,217,249,33
586,58,97,25,279,308,30
587,58,6,437,338,360,23
588,58,72,513,390,403,14
589,58,105,448,433,442,10
590,59,70,349,0,4,5
591,59,56,605,34,62,29
592,59,133,68,92,113,22
593,59,15,324,143,165,23
594,59,63,332,195,203,9
595,59,72,88,233,247,15
596,59,2,71,277,290,14
597,59,8,464,320,339,20
598,59,94,378,369,394,26
599,59,64,159,424,446,23
600,60,151,116,0,65,66
601,60,42,523,95,126,32
602,60,115,370,156,186,31
603,60,81,476,216,237,22
604,60,90,206,267,272,6
605,60,76,362,302,310,9
606,60,97,401,340,345,6
607,60,77,113,375,390,16
608,60,27,333,420,435,16
609,60,75,637,465,489,25
610,61,70,487,0,17,18
611,61,119,727,47,52,6
612,61,143,347,82,103,22
613,61,107,618,133,139,7
614,61,138,126,169,229,61
615,61,19,221,259,293,35
616,61,54,35,323,343,21
617,61,26,627,373,403,31
618,61,147,454,433,454,22
619,61,89,544,484,518,35
620,62,119,118,0,19,20
621,62,33,336,49,66,18
622,62,67,532,96,121,26
623,62,120,33,151,176,26
624,62,11,536,206,239,34
625,62,112,596,269,288,20
626,62,132,675,318,337,20
627,62,143,455,367,382,16
628,62,89,515,412,427,16
629,62,105,321,457,479,23
630,63,150,596,0,6,7
631,63,151,294,36,67,32
632,63,61,731,97,127,31
633,63,139,90,157,181,25
634,63,15,401,211,240,30
635,63,89,576,270,283,14
636,63,120,582,313,324,12
637,63,135,273,354,376,23
638,63,48,463,406,431,26
639,63,86,428,461,471,11
640,64,120,377,0,25,26
641,64,56,461,55,82,28
642,64,110,686,112,131,20
643,64,144,25,161,210,50
644,64,6,556,240,276,37
645,64,122,206,306,327,22
646,64,39,98,357,380,24
647,64,22,737,410,441,32
648,64,154,111,471,502,32
649,64,32,496,532,566,35
650,65,152,497,0,32,33
651,65,113,347,62,93,32
652,65,71,390,123,140,18
653,65,68,620,170,191,22
654,65,127,14,221,263,43
655,65,15,329,293,314,22
656,65,74,397,344,376,33
657,65,88,465,406,419,14
658,65,129,258,449,463,15
659,65,73,214,493,508,16
660,66,85,60,0,15,16
661,66,32,444,45,71,27
662,66,98,611,101,119,19
663,66,140,296,149,182,34
664,66,61,623,212,239,28
665,66,143,650,269,276,8
666,66,120,556,306,312,7
667,66,133,445,342,352,11
668,66,82,312,382,387,6
669,66,68,569,417,447,31
670,67,75,40,0,14,15
671,67,15,177,44,64,21
672,67,29,215,94,127,34
673,67,68,70,157,174,18
674,67,12,454,204,242,39
675,67,90,576,272,284,13
676,67,120,531,314,315,2
677,67,119,415,345,373,29
678,67,86,233,403,414,12
679,67,40,359,444,462,19
680,68,79,214,0,11,12
681,68,52,141,41,44,4
682,68,34,530,74,101,28
683,68,101,93,131,170,40
684,68,15,195,200,216,17
685,68,48,549,246,284,39
686,68,132,648,314,319,6
687,68,127,531,349,353,5
688,68,128,117,383,406,24
689,68,15,381,436,459,24
690,69,54,411,0,23,24
691,69,73,738,53,74,22
692,69,135,463,104,121,18
693,69,86,309,151,162,12
694,69,66,687,192,217,26
695,69,149,494,247,258,12
696,69,106,535,288,299,12
697,69,104,329,329,342,14
698,69,73,51,372,394,23
699,69,10,440,424,457,34
700,70,127,611,0,22,23
701,70,141,120,52,78,27
702,70,34,81,108,126,19
703,70,14,184,156,172,17
704,70,50,173,202,222,21
705,70,23,475,252,267,16
706,70,99,348,297,316,20
707,70,54,366,346,366,21
708,70,60,261,396,404,9
709,70,66,494,434,446,13
710,71,39,415,0,19,20
711,71,104,435,49,60,12
712,71,85,132,90,104,15
713,71,20,41,134,149,16
714,71,7,460,179,203,25
715,71,97,657,233,263,31
716,71,134,31,293,337,45
717,71,11,680,367,401,35
718,71,146,516,431,447,17
719,71,92,653,477,487,11
720,72,117,70,0,39,40
721,72,17,53,69,91,23
722,72,10,111,121,134,14
723,72,30,616,164,184,21
724,72,138,328,214,232,19
725,72,77,554,262,277,16
726,72,121,186,307,335,29
727,72,42,444,365,377,13
728,72,79,341,407,409,3
729,72,80,92,439,463,25
730,73,111,550,0,11,12
731,73,101,568,41,52,12
732,73,107,73,82,133,52
733,73,17,102,163,185,23
734,73,10,423,215,251,37
735,73,87,465,281,290,10
736,73,104,489,320,327,8
737,73,82,344,357,371,15
738,73,53,303,401,424,24
739,73,57,489,454,475,22
740,74,68,174,0,25,26
741,74,29,463,55,79,25
742,74,103,460,109,109,1
743,74,103,206,139,152,14
744,74,40,371,182,202,21
745,74,81,126,232,254,23
746,74,12,636,284,308,25
747,74,141,329,338,365,28
748,74,77,612,395,411,17
749,74,99,328,441,458,18
750,75,99,637,0,37,38
751,75,130,313,67,88,22
752,75,68,699,118,166,49
753,75,143,588,196,230,35
754,75,140,461,260,281,22
755,75,109,569,311,317,7
756,75,132,525,347,355,9
757,75,107,619,385,392,8
758,75,101,317,422,445,24
759,75,69,491,475,482,8
760,76,89,455,0,11,12
761,76,90,561,41,69,29
762,76,140,287,99,123,25
763,76,66,492,153,172,20
764,76,106,257,202,218,17
765,76,59,356,248,253,6
766,76,72,234,283,290,8
767,76,41,243,320,335,16
768,76,53,458,365,390,26
769,76,85,45,420,450,31
770,77,147,177,0,30,31
771,77,44,481,60,72,13
772,77,101,531,102,106,5
773,77,103,723,136,152,17
774,77,151,289,182,208,27
775,77,67,714,238,262,25
776,77,140,418,292,308,17
777,77,82,409,338,348,11
778,77,77,427,378,387,10
779,77,89,66,417,445,29
780,78,98,224,0,31,32
781,78,38,117,61,79,19
782,78,15,375,109,137,29
783,78,54,493,167,198,32
784,78,106,30,228,259,32
785,78,11,29,289,297,9
786,78,1,304,327,349,23
787,78,58,428,379,391,13
788,78,89,105,421,438,18
789,78,14,357,468,485,18
790,79,54,182,0,14,15
791,79,59,680,44,62,19
792,79,147,604,92,101,10
793,79,133,394,131,144,14
794,79,94,181,174,198,25
795,79,40,284,228,243,16
796,79,59,368,273,287,15
797,79,81,116,317,335,19
798,79,27,731,365,392,28
799,79,146,282,422,444,23
800,80,120,408,0,13,14
801,80,76,691,43,57,15
802,80,115,598,87,102,16
803,80,128,187,132,173,42
804,80,45,331,203,234,32
805,80,73,389,264,268,5
806,80,86,384,298,309,12
807,80,64,361,339,349,11
808,80,66,430,379,391,13
809,80,85,332,421,437,17
810,81,39,34,0,7,8
811,81,2,712,37,83,47
812,81,149,660,113,118,6
813,81,136,569,148,178,31
814,81,126,114,208,237,30
815,81,27,440,267,283,17
816,81,82,348,313,337,25
817,81,54,334,367,387,21
818,81,67,707,417,435,19
819,81,147,277,465,497,33
820,82,31,12,0,2,3
821,82,26,113,32,37,6
822,82,32,738,67,99,33
823,82,144,68,129,179,51
824,82,4,245,209,225,17
825,82,53,426,255,280,26
826,82,62,30,310,320,11
827,82,25,430,350,367,18
828,82,89,670,397,405,9
829,82,132,116,435,463,29
830,83,34,573,0,27,28
831,83,127,381,57,69,13
832,83,76,510,99,108,10
833,83,103,426,138,156,19
834,83,115,732,186,207,22
835,83,152,409,237,255,19
836,83,77,692,285,319,35
837,83,150,447,349,384,36
838,83,88,319,414,428,15
839,83,48,277,458,486,29
840,84,119,447,0,16,17
841,84,94,71,46,63,18
842,84,17,435,93,117,25
843,84,77,181,147,155,9
844,84,39,157,185,199,15
845,84,26,140,229,241,13
846,84,15,53,271,287,17
847,84,13,682,317,369,53
848,84,146,542,399,420,22
849,84,125,186,450,468,19
850,85,33,90,0,1,2
851,85,27,469,31,42,12
852,85,73,355,72,74,3
853,85,73,58,104,114,11
854,85,44,692,144,171,28
855,85,153,597,201,210,10
856,85,132,39,240,292,53
857,85,11,9,322,326,5
858,85,2,235,356,386,31
859,85,32,308,416,417,2
860,86,40,306,0,1,2
861,86,41,469,31,57,27
862,86,82,634,87,98,12
863,86,135,127,128,184,57
864,86,54,81,214,221,8
865,86,13,546,251,274,24
866,86,115,51,304,325,22
867,86,10,241,355,395,41
868,86,69,681,425,446,22
869,86,147,585,476,492,17
870,87,81,10,0,28,29
871,87,2,342,58,82,25
872,87,61,263,112,115,4
873,87,60,453,145,167,23
874,87,90,309,197,223,27
875,87,73,68,253,283,31
876,87,16,415,313,327,15
877,87,82,267,357,366,10
878,87,55,493,396,414,19
879,87,92,185,444,474,31
880,88,60,731,0,21,22
881,88,146,279,51,77,27
882,88,63,586,107,137,31
883,88,125,511,167,177,11
884,88,104,330,207,221,15
885,88,72,623,251,266,16
886,88,143,219,296,327,32
887,88,53,583,357,378,22
888,88,125,344,408,423,16
889,88,53,338,453,464,12
890,89,56,522,0,38,39
891,89,130,609,68,77,10
892,89,137,567,107,131,25
893,89,138,417,161,187,27
894,89,82,350,217,237,21
895,89,62,632,267,308,42
896,89,123,102,338,375,38
897,89,24,739,405,448,44
898,89,148,517,478,486,9
899,89,106,71,516,534,19
900,90,61,172,0,9,10
901,90,48,602,39,69,31
902,90,128,554,99,107,9
903,90,129,501,137,163,27
904,90,99,83,193,217,25
905,90,20,706,247,280,34
906,90,146,410,310,323,14
907,90,86,309,353,366,14
908,90,59,109,396,406,11
909,90,31,217,436,457,22
910,91,50,249,0,17,18
911,91,56,307,47,61,15
912,91,66,495,91,115,25
913,91,144,276,145,198,54
914,91,64,165,228,252,25
915,91,34,177,282,300,19
916,91,30,190,330,350,21
917,91,28,385,380,398,19
918,91,73,281,428,434,7
919,91,65,448,464,485,22
920,92,54,436,0,19,20
921,92,86,570,49,63,15
922,92,126,595,93,96,4
923,92,132,574,126,142,17
924,92,143,571,172,181,10
925,92,117,57,211,229,19
926,92,25,286,259,273,15
927,92,50,434,303,318,16
928,92,85,571,348,352,5
929,92,101,500,382,405,24
930,93,106,210,0,21,22
931,93,42,6,51,72,22
932,93,6,440,102,136,35
933,93,104,527,166,199,34
934,93,90,436,229,241,13
935,93,44,2,271,286,16
936,93,1,339,316,346,31
937,93,68,56,376,398,23
938,93,30,261,428,449,22
939,93,60,213,479,495,17
940,94,93,668,0,33,34
941,94,145,497,63,94,32
942,94,94,585,124,128,5
943,94,125,527,158,183,26
944,94,96,327,213,222,10
945,94,71,471,252,277,26
946,94,94,169,307,324,18
947,94,43,219,354,358,5
948,94,47,561,388,407,20
949,94,125,570,437,455,19
950,95,81,279,0,19,20
951,95,71,310,49,68,20
952,95,60,322,98,116,19
953,95,70,373,146,172,27
954,95,81,488,202,218,17
955,95,121,86,248,274,27
956,95,2,602,304,337,34
957,95,134,736,367,373,7
958,95,154,89,403,429,27
959,95,16,676,459,490,32
960,96,68,575,0,18,19
961,96,119,644,48,60,13
962,96,117,622,90,103,14
963,96,143,334,133,152,20
964,96,78,337,182,188,7
965,96,69,62,218,234,17
966,96,32,653,264,281,18
967,96,119,106,311,334,24
968,96,20,82,364,371,8
969,96,20,443,401,435,35
970,97,89,505,0,7,8
971,97,89,284,37,54,18
972,97,39,512,84,103,20
973,97,104,650,133,159,27
974,97,128,677,189,195,7
975,97,143,536,225,236,12
976,97,104,412,266,277,12
977,97,73,391,307,317,11
978,97,78,245,347,363,17
979,97,48,193,393,395,3
980,98,10,64,0,18,19
981,98,27,364,48,66,19
982,98,83,543,96,114,19
983,98,113,531,144,161,18
984,98,103,515,191,215,25
985,98,111,392,245,255,11
986,98,79,296,285,296,12
987,98,53,418,326,352,27
988,98,82,420,382,387,6
989,98,87,503,417,442,26
990,99,31,82,0,8,9
991,99,14,336,38,65,28
992,99,78,593,95,121,27
993,99,138,158,151,180,30
